"Latitude (decimal degrees):	42.088",,,,,,
"Longitude (decimal degrees):	2.816",,,,,,
"Elevation (m):	99",,,,,,
"Radiation database:	PVGIS-SARAH3",,,,,,
,,,,,,
,,,,,,
Slope: 30 deg. ,,,,,,
Azimuth: 0 deg. ,,,,,,
"Nominal power of the PV system (c-Si) (kWp):	1.0",,,,,,
"System losses (%):	14.0",,,,,,
time,P,G(i),H_sun,T2m,WS10m,Int
20230728:1610,229.43,312.96,31.88,30.66,4.69,0
20230728:1710,146.5,226.24,20.77,29.73,4.62,0
20230728:1810,23.53,47.24,9.89,28.63,4.21,0
20230728:1910,0,0,0,27.31,2.62,0
20230728:2010,0,0,0,26.26,2.28,0
20230728:2110,0,0,0,25.45,2.14,0
20230728:2210,0,0,0,24.88,1.79,0
20230728:2310,0,0,0,24.34,1.59,0
20230729:0010,0,0,0,23.75,1.66,0
20230729:0110,0,0,0,23.06,1.66,0
20230729:0210,0,0,0,22.76,1.79,0
20230729:0310,0,0,0,22.21,1.72,0
20230729:0410,0,0,0,21.72,1.72,0
20230729:0510,9.5,23.53,4.57,21.48,1.59,0
20230729:0610,70.35,127.3,15.23,22.06,1.45,0
20230729:0710,239.41,334.05,26.26,24.53,1.24,0
20230729:0810,408.76,553.24,37.37,26.69,1.86,0
20230729:0910,541.42,746.04,48.13,28.7,2.83,0
20230729:1010,638.02,900.62,57.82,30.54,3.59,0
20230729:1110,684.31,977.65,64.84,31.99,4.28,0
20230729:1210,690.84,989.7,66.48,33.24,4.76,0
20230729:1310,663.18,941.71,61.75,34.02,5.17,0
20230729:1410,595.97,831.56,53.09,34.19,5.38,0
20230729:1510,476.01,652.4,42.73,33.53,4.9,0
20230729:1610,317.31,437.48,31.73,32.38,4,0
20230729:1710,142.34,224.24,20.62,31.91,3.38,0
20230729:1810,21.7,44.88,9.74,30.85,2,0
20230729:1910,0,0,0,29.81,0.48,0
20230729:2010,0,0,0,28.48,1.66,0
20230729:2110,0,0,0,27.39,2.21,0
20230729:2210,0,0,0,26.46,2.28,0
20230729:2310,0,0,0,25.85,2.14,0
20230730:0010,0,0,0,25.18,2.21,0
20230730:0110,0,0,0,24.54,2.41,0
20230730:0210,0,0,0,24.13,2,0
20230730:0310,0,0,0,23.66,1.66,0
20230730:0410,0,0,0,23.19,1.72,0
20230730:0510,8.85,22.63,4.41,22.83,1.79,0
20230730:0610,68.72,125.44,15.08,23.48,1.66,0
20230730:0710,237.42,328.84,26.12,24.77,2.62,0
20230730:0810,403.73,538.32,37.22,25.84,2.83,0
20230730:0910,520.29,705.38,47.97,26.89,3.03,0
20230730:1010,92.15,134.33,57.64,27.66,2.97,0
20230730:1110,490.38,674.98,64.62,28.31,2.62,0
20230730:1210,580.89,829.33,66.24,28.86,1.79,0
20230730:1310,571.63,820.6,61.54,29.35,1.45,0
20230730:1410,348.01,476.93,52.91,29.22,1.45,0
20230730:1510,156.62,218.87,42.57,29.11,1.24,0
20230730:1610,184.5,254.7,31.57,28.39,1.31,0
20230730:1710,58.01,90.81,20.46,27.59,2,0
20230730:1810,18.71,37.84,9.57,26.92,2.48,0
20230730:1910,0,0,0,26.38,2.62,0
20230730:2010,0,0,0,25.68,2.55,0
20230730:2110,0,0,0,25.05,2.34,0
20230730:2210,0,0,0,24.51,2,0
20230730:2310,0,0,0,24.11,1.59,0
20230731:0010,0,0,0,23.44,1.03,0
20230731:0110,0,0,0,22.93,0.9,0
20230731:0210,0,0,0,22.39,1.03,0
20230731:0310,0,0,0,22,1.03,0
20230731:0410,0,0,0,21.53,1.17,0
20230731:0510,4.56,15.39,4.25,21.2,1.38,0
20230731:0610,55.2,86.32,14.93,22.19,1.38,0
20230731:0710,136.61,188.39,25.98,23.02,1.52,0
20230731:0810,314.32,417.08,37.07,24.11,1.79,0
20230731:0910,508.48,701.14,47.81,25.15,1.1,0
20230731:1010,625.59,898.12,57.45,26.39,1.24,0
20230731:1110,565.01,799.42,64.39,28.29,1.86,0
20230731:1210,494.91,700.12,66,29.86,1.45,0
20230731:1310,486.55,693.65,61.33,30.75,1.1,0
20230731:1410,364.68,505.52,52.73,31.46,1.66,0
20230731:1510,409.87,568.91,42.4,31.51,1.79,0
20230731:1610,297.35,409.39,31.42,30.62,2.55,0
20230731:1710,141.97,222.1,20.3,29.82,1.86,0
20230731:1810,23.11,45.55,9.41,28.52,2.14,0
20230731:1910,0,0,0,26.62,1.79,0
20230731:2010,0,0,0,25.98,1.59,0
20230731:2110,0,0,0,25.6,1.66,0
20230731:2210,0,0,0,25.14,1.59,0
20230731:2310,0,0,0,24.83,1.45,0
20230801:0010,0,0,0,24.38,1.31,0
20230801:0110,0,0,0,23.78,0.9,0
20230801:0210,0,0,0,23.51,0.48,0
20230801:0310,0,0,0,23.37,0.41,0
20230801:0410,0,0,0,22.8,0.62,0
20230801:0510,4.02,14.48,4.09,22.5,1.38,0
20230801:0610,38,63.38,14.78,23.1,1.86,0
20230801:0710,219.95,300.62,25.83,23.18,2.41,0
20230801:0810,369,486.18,36.93,23.41,2.48,0
20230801:0910,453.77,608.89,47.65,23.94,1.79,0
20230801:1010,434.54,588.04,57.26,25.54,1.86,0
20230801:1110,445.36,606.06,64.16,26.23,2,0
20230801:1210,152.43,210.01,65.75,26.46,2.34,0
20230801:1310,358.5,483.25,61.11,27.13,2.34,0
20230801:1410,150.09,208.12,52.54,27.82,2.69,0
20230801:1510,118.54,167.44,42.23,27.11,2.69,0
20230801:1610,182.29,248.36,31.25,26.7,2.62,0
20230801:1710,117.26,170.6,20.14,26.31,2.55,0
20230801:1810,24.85,47.07,9.23,25.89,2.34,0
20230801:1910,0,0,0,25.63,1.24,0
20230801:2010,0,0,0,25.07,1.1,0
20230801:2110,0,0,0,24.62,1.24,0
20230801:2210,0,0,0,24.13,1.38,0
20230801:2310,0,0,0,23.53,1.59,0
20230802:0010,0,0,0,23.03,1.59,0
20230802:0110,0,0,0,22.57,1.59,0
20230802:0210,0,0,0,22.21,1.59,0
20230802:0310,0,0,0,21.82,1.66,0
20230802:0410,0,0,0,21.61,1.52,0
20230802:0510,7.22,19.91,3.93,21.57,1.24,0
20230802:0610,65.21,122.14,14.63,22.29,0.83,0
20230802:0710,238.55,333.06,25.69,24.9,1.66,0
20230802:0810,412.54,554.87,36.78,26.7,2.48,0
20230802:0910,538.12,741.08,47.49,28.44,2.69,0
20230802:1010,625.96,890.32,57.07,30.07,2.76,0
20230802:1110,669.74,971.75,63.93,31.92,3.1,0
20230802:1210,677.59,983.67,65.5,33.33,3.72,0
20230802:1310,650.1,929.81,60.88,34.36,4.55,0
20230802:1410,553.7,773.52,52.34,34.63,4.9,0
20230802:1510,372.95,511.21,42.05,34.48,4.69,0
20230802:1610,274.39,380.89,31.08,33.69,3.66,0
20230802:1710,133.24,208.61,19.97,32.93,1.59,0
20230802:1810,26.78,50.15,9.06,31.47,2.55,0
20230802:1910,0,0,0,28.11,2.97,0
20230802:2010,0,0,0,26.8,2.41,0
20230802:2110,0,0,0,26.11,1.93,0
20230802:2210,0,0,0,25.82,2.21,0
20230802:2310,0,0,0,25.2,4,0
20230803:0010,0,0,0,23.63,4.21,0
20230803:0110,0,0,0,22.59,3.72,0
20230803:0210,0,0,0,21.73,3.59,0
20230803:0310,0,0,0,21.2,3.38,0
20230803:0410,0,0,0,20.72,3.24,0
20230803:0510,2.17,10.86,3.77,20.35,3.24,0
20230803:0610,31.34,53.92,14.48,20.38,3.79,0
20230803:0710,133.65,181.27,25.54,20.62,4.55,0
20230803:0810,205.91,268.23,36.63,20.5,4.62,0
20230803:0910,96.31,135.28,47.32,21.08,4.69,0
20230803:1010,60.74,91.76,56.87,21.76,4.69,0
20230803:1110,74.99,109.73,63.69,22.23,4.21,0
20230803:1210,461.54,605.95,65.24,22.9,4.07,0
20230803:1310,637.89,864.39,60.65,23.63,3.79,0
20230803:1410,330.25,432.52,52.14,23.8,3.66,0
20230803:1510,257.52,339.96,41.87,24.67,3.45,0
20230803:1610,292.93,389.29,30.91,24.51,3.24,0
20230803:1710,131.57,191.84,19.79,23.89,3.1,0
20230803:1810,26.43,48.1,8.87,23.45,3.45,0
20230803:1910,0,0,0,22.61,2.9,0
20230803:2010,0,0,0,22.08,2.69,0
20230803:2110,0,0,0,21.49,2.76,0
20230803:2210,0,0,0,20.85,2.9,0
20230803:2310,0,0,0,20.21,3.17,0
20230804:0010,0,0,0,19.3,3.17,0
20230804:0110,0,0,0,17.99,3.1,0
20230804:0210,0,0,0,16.64,3.1,0
20230804:0310,0,0,0,16.12,3.38,0
20230804:0410,0,0,0,15.48,3.52,0
20230804:0510,5.81,17.2,3.6,15.51,2.21,0
20230804:0610,66.42,123.52,14.32,16.03,0.69,0
20230804:0710,253.68,343.81,25.39,18.42,1.45,0
20230804:0810,429.46,567.6,36.47,19.88,1.1,0
20230804:0910,556.51,762.49,47.15,21.11,0.83,0
20230804:1010,644.75,909.09,56.67,22.71,1.31,0
20230804:1110,681.58,973.64,63.45,23.96,1.72,0
20230804:1210,681.86,967.9,64.98,25.05,2.34,0
20230804:1310,256.5,341.97,60.41,25.39,2.76,0
20230804:1410,520.78,705.82,51.94,24.74,2.41,0
20230804:1510,498.66,679.05,41.68,24.52,1.45,0
20230804:1610,334.56,455.27,30.72,24.04,0.62,0
20230804:1710,132.02,193.12,19.61,23.66,1.59,0
20230804:1810,13.6,29.87,8.68,22.84,2.21,0
20230804:1910,0,0,0,22.03,3.24,0
20230804:2010,0,0,0,20.77,3.31,0
20230804:2110,0,0,0,19.77,3.38,0
20230804:2210,0,0,0,19.05,3.66,0
20230804:2310,0,0,0,18.5,3.31,0
20230805:0010,0,0,0,18.09,3.03,0
20230805:0110,0,0,0,17.6,2.69,0
20230805:0210,0,0,0,17.17,2.48,0
20230805:0310,0,0,0,16.77,2.48,0
20230805:0410,0,0,0,16.38,2.62,0
20230805:0510,5.79,17.2,3.43,15.97,2.62,0
20230805:0610,65.72,122.69,14.17,16.56,2.28,0
20230805:0710,253.72,341.17,25.24,18.5,2.83,0
20230805:0810,434.21,566.55,36.32,20.1,2.34,0
20230805:0910,562.2,764.85,46.98,21.8,1.45,0
20230805:1010,639.76,913.92,56.47,23.35,0.9,0
20230805:1110,673.61,996.91,63.2,24.64,0.55,0
20230805:1210,678.55,1002.74,64.71,25.68,0.9,0
20230805:1310,660.99,959.46,60.17,26.42,1.38,0
20230805:1410,597.05,846.47,51.72,27.32,1.59,0
20230805:1510,490.44,669.61,41.49,27.44,2.28,0
20230805:1610,334.7,453.09,30.54,26.9,2.83,0
20230805:1710,146.98,228.26,19.42,25.32,3.66,0
20230805:1810,25.01,46.16,8.49,23.84,3.03,0
20230805:1910,0,0,0,22.99,2.07,0
20230805:2010,0,0,0,22.2,1.38,0
20230805:2110,0,0,0,21.3,1.03,0
20230805:2210,0,0,0,21.03,0.76,0
20230805:2310,0,0,0,20.65,0.76,0
20230806:0010,0,0,0,19.62,1.38,0
20230806:0110,0,0,0,19.22,1.38,0
20230806:0210,0,0,0,18.87,1.45,0
20230806:0310,0,0,0,18.23,1.66,0
20230806:0410,0,0,0,17.72,1.66,0
20230806:0510,2.23,10.86,3.27,17.12,1.52,0
20230806:0610,65.76,101.02,14.01,17.81,1.24,0
20230806:0710,230.35,313.58,25.08,20.91,1.66,0
20230806:0810,417.79,552.44,36.16,22.08,1.86,0
20230806:0910,547.66,741.55,46.81,23.18,2,0
20230806:1010,617.45,852.98,56.27,23.88,2.28,0
20230806:1110,606.31,841.94,62.95,24.83,2.34,0
20230806:1210,433.68,581.47,64.44,25.35,2.83,0
20230806:1310,320.13,424.6,59.92,25.4,3.17,0
20230806:1410,86.6,125.82,51.5,25.01,2.97,0
20230806:1510,282.77,373.82,41.29,24.47,2.55,0
20230806:1610,237.7,317.13,30.35,24.29,2.55,0
20230806:1710,94.01,136.54,19.23,24.01,2.76,0
20230806:1810,0.89,8.15,8.29,23.42,3.1,0
20230806:1910,0,0,0,22.64,2.83,0
20230806:2010,0,0,0,21.93,3.45,0
20230806:2110,0,0,0,21.08,3.86,0
20230806:2210,0,0,0,20.42,4.14,0
20230806:2310,0,0,0,19.82,4.21,0
20230807:0010,0,0,0,19.37,4.28,0
20230807:0110,0,0,0,18.94,4.28,0
20230807:0210,0,0,0,18.61,4.21,0
20230807:0310,0,0,0,18.21,3.93,0
20230807:0410,0,0,0,17.98,3.59,0
20230807:0510,2.22,10.86,3.1,17.77,3.52,0
20230807:0610,51.31,79.85,13.86,17.87,3.38,0
20230807:0710,207.19,274.38,24.93,18.49,3.79,0
20230807:0810,433.51,556.44,36,19.58,3.86,0
20230807:0910,572.93,752.89,46.64,20.56,3.45,0
20230807:1010,660.76,903.98,56.06,22.01,2.76,0
20230807:1110,695.58,986.72,62.7,23.03,1.93,0
20230807:1210,687.71,998.5,64.16,24.11,1.24,0
20230807:1310,565.65,793.26,59.66,24.94,1.24,0
20230807:1410,547.12,762.03,51.28,25.96,1.45,0
20230807:1510,437.26,592.15,41.08,26.28,1.79,0
20230807:1610,262.8,353.48,30.15,26.06,2.48,0
20230807:1710,130.66,194.26,19.03,25.33,2.97,0
20230807:1810,23.65,44.35,8.09,24.18,2.69,0
20230807:1910,0,0,0,22.85,2.48,0
20230807:2010,0,0,0,21.96,2.21,0
20230807:2110,0,0,0,21.22,2.21,0
20230807:2210,0,0,0,20.63,2.14,0
20230807:2310,0,0,0,20.07,2,0
20230808:0010,0,0,0,19.56,1.86,0
20230808:0110,0,0,0,19.14,1.79,0
20230808:0210,0,0,0,18.74,1.59,0
20230808:0310,0,0,0,18.21,1.45,0
20230808:0410,0,0,0,17.79,1.52,0
20230808:0510,3.65,13.58,2.93,17.53,1.59,0
20230808:0610,59.28,91.97,13.7,18.4,1.24,0
20230808:0710,239.72,329.42,24.78,21.33,1.38,0
20230808:0810,413.05,550.3,35.84,22.61,1.38,0
20230808:0910,541.54,748.87,46.46,23.72,0.9,0
20230808:1010,620.96,895.2,55.85,25.28,0.76,0
20230808:1110,660.95,977.81,62.44,26.75,0.83,0
20230808:1210,675.81,988.37,63.88,27.65,1.66,0
20230808:1310,662.46,940.31,59.4,28.2,2.9,0
20230808:1410,593.67,823.15,51.05,28.47,3.17,0
20230808:1510,478.7,649.36,40.87,28.63,3.17,0
20230808:1610,318.85,429.71,29.95,27.73,4.07,0
20230808:1710,131.06,197.68,18.83,26.36,3.93,0
20230808:1810,24.11,45.25,7.88,25.7,3.17,0
20230808:1910,0,0,0,25.11,2.28,0
20230808:2010,0,0,0,24.29,2.48,0
20230808:2110,0,0,0,23.57,2.55,0
20230808:2210,0,0,0,22.88,2.21,0
20230808:2310,0,0,0,22.31,2,0
20230809:0010,0,0,0,21.77,1.86,0
20230809:0110,0,0,0,21.23,1.79,0
20230809:0210,0,0,0,20.75,1.72,0
20230809:0310,0,0,0,20.39,1.79,0
20230809:0410,0,0,0,20.1,1.86,0
20230809:0510,2.64,11.77,2.76,19.81,1.79,0
20230809:0610,61.95,117.32,13.54,20.67,1.31,0
20230809:0710,236.06,329.93,24.62,23.82,0.76,0
20230809:0810,409.13,552.37,35.68,25.84,1.66,0
20230809:0910,541.99,747.92,46.28,27,2.07,0
20230809:1010,626.37,894.32,55.63,27.99,1.93,0
20230809:1110,667.28,975.78,62.18,28.74,1.79,0
20230809:1210,674.59,993.65,63.59,29.63,1.86,0
20230809:1310,642.06,938.23,59.13,30.87,2,0
20230809:1410,576.62,821.04,50.81,31.81,2.48,0
20230809:1510,468.82,643.87,40.66,31.67,3.45,0
20230809:1610,314.56,432.03,29.74,30.94,3.66,0
20230809:1710,131.49,208.04,18.63,30.26,3.31,0
20230809:1810,23.01,44.35,7.67,29.31,2.97,0
20230809:1910,0,0,0,27.51,2.76,0
20230809:2010,0,0,0,26.41,2.62,0
20230809:2110,0,0,0,25.5,2.34,0
20230809:2210,0,0,0,24.67,2.48,0
20230809:2310,0,0,0,24.02,2.48,0
20230810:0010,0,0,0,23.48,2.34,0
20230810:0110,0,0,0,23.03,2.28,0
20230810:0210,0,0,0,22.59,2.21,0
20230810:0310,0,0,0,22.18,2,0
20230810:0410,0,0,0,21.79,1.79,0
20230810:0510,2.15,10.86,2.58,21.56,1.72,0
20230810:0610,65.16,109.65,13.38,22.49,1.72,0
20230810:0710,209.3,289.96,24.46,25.15,1.86,0
20230810:0810,363.39,484.65,35.52,26.7,2.97,0
20230810:0910,518.08,697.66,46.1,27.94,4.14,0
20230810:1010,623.25,859.41,55.42,29.13,4.48,0
20230810:1110,681.74,962.85,61.91,30.18,4.28,0
20230810:1210,685.92,979.59,63.3,30.87,3.93,0
20230810:1310,650.14,925.39,58.86,31.34,3.66,0
20230810:1410,495.81,687.96,50.57,31.51,3.1,0
20230810:1510,356.66,487.37,40.44,31.32,2.69,0
20230810:1610,322.03,448.55,29.53,31,1.93,0
20230810:1710,118.7,182.45,18.41,30.28,1.59,0
20230810:1810,19.2,38.92,7.45,29.19,1.38,0
20230810:1910,0,0,0,26.9,1.1,0
20230810:2010,0,0,0,25.8,1.1,0
20230810:2110,0,0,0,24.65,0.69,0
20230810:2210,0,0,0,24.73,0.9,0
20230810:2310,0,0,0,23.85,0.76,0
20230811:0010,0,0,0,23.48,0.83,0
20230811:0110,0,0,0,23.01,0.97,0
20230811:0210,0,0,0,22.49,1.1,0
20230811:0310,0,0,0,22.04,1.24,0
20230811:0410,0,0,0,21.71,1.38,0
20230811:0510,1.3,9.05,2.41,21.44,1.52,0
20230811:0610,60.81,113.93,13.21,21.94,1.17,0
20230811:0710,231.42,325.18,24.31,25.44,1.1,0
20230811:0810,395.67,543.09,35.35,27.69,0.97,0
20230811:0910,522.36,735.69,45.92,29.47,1.45,0
20230811:1010,618.03,890.37,55.2,30.77,2.21,0
20230811:1110,664.59,971.77,61.65,31.59,2.55,0
20230811:1210,678.74,994.82,63.01,32.12,2.83,0
20230811:1310,652.31,939.21,58.59,32.03,3.24,0
20230811:1410,586,821.67,50.33,31.57,3.52,0
20230811:1510,470.52,641.82,40.21,30.68,3.59,0
20230811:1610,311.66,426.55,29.31,29.53,3.1,0
20230811:1710,129.03,205.31,18.2,28.8,2.28,0
20230811:1810,21.21,41.63,7.23,28.16,1.38,0
20230811:1910,0,0,0,27.42,0.83,0
20230811:2010,0,0,0,26.39,0.62,0
20230811:2110,0,0,0,25.82,0.55,0
20230811:2210,0,0,0,25.27,1.03,0
20230811:2310,0,0,0,24.15,1.1,0
20230812:0010,0,0,0,23.35,0.9,0
20230812:0110,0,0,0,22.9,0.69,0
20230812:0210,0,0,0,22.3,0.76,0
20230812:0310,0,0,0,21.84,0.97,0
20230812:0410,0,0,0,21.4,0.97,0
20230812:0510,0.54,7.24,2.24,20.96,0.97,0
20230812:0610,59.72,95.58,13.05,21.68,0.97,0
20230812:0710,152.97,211.14,24.15,23.45,0.9,0
20230812:0810,404.54,546.37,35.19,25.29,1.31,0
20230812:0910,536.86,741.76,45.73,27.03,1.93,0
20230812:1010,624.97,886.89,54.97,28.42,2.34,0
20230812:1110,687.25,998.01,61.37,29.45,2.55,0
20230812:1210,681.81,991.19,62.71,30.21,2.69,0
20230812:1310,654.51,940.67,58.3,30.62,2.9,0
20230812:1410,612.13,860.24,50.08,30.64,3.38,0
20230812:1510,36.83,63.38,39.98,29.45,3.86,0
20230812:1610,49.21,79.46,29.09,28.25,3.38,0
20230812:1710,82.21,123.41,17.98,27.47,2.55,0
20230812:1810,18.2,37.11,7,26.8,1.72,0
20230812:1910,0,0,0,25.73,1.1,0
20230812:2010,0,0,0,25.3,1.03,0
20230812:2110,0,0,0,24.68,0.83,0
20230812:2210,0,0,0,24.15,0.83,0
20230812:2310,0,0,0,23.63,0.97,0
20230813:0010,0,0,0,23.14,1.03,0
20230813:0110,0,0,0,22.65,1.17,0
20230813:0210,0,0,0,22.28,1.31,0
20230813:0310,0,0,0,21.87,1.38,0
20230813:0410,0,0,0,21.47,1.38,0
20230813:0510,0.2,6.34,2.06,21.1,1.31,0
20230813:0610,60.17,111.51,12.89,21.79,0.76,0
20230813:0710,225.26,316.17,23.99,24.4,0.34,0
20230813:0810,395.06,537.97,35.02,26.12,0.9,0
20230813:0910,527.64,734.23,45.54,27.68,1.59,0
20230813:1010,619.92,884.2,54.75,28.88,2.14,0
20230813:1110,673.24,971.84,61.1,29.88,2.76,0
20230813:1210,683.09,988.57,62.4,30.82,3.1,0
20230813:1310,654.72,931.79,58.02,31.21,3.66,0
20230813:1410,584.97,809.36,49.82,30.86,4.21,0
20230813:1510,466.6,630.87,39.74,30.44,4.34,0
20230813:1610,307.06,418.12,28.86,29.9,4.34,0
20230813:1710,125.25,198.46,17.75,29.13,4.41,0
20230813:1810,19.36,38.92,6.76,28.08,4.21,0
20230813:1910,0,0,0,26.6,4,0
20230813:2010,0,0,0,25.61,3.59,0
20230813:2110,0,0,0,24.88,3.45,0
20230813:2210,0,0,0,24.36,3.03,0
20230813:2310,0,0,0,23.88,2.69,0
20230814:0010,0,0,0,23.4,2.55,0
20230814:0110,0,0,0,23,2.41,0
20230814:0210,0,0,0,22.52,2.34,0
20230814:0310,0,0,0,22.25,2.34,0
20230814:0410,0,0,0,21.94,2.34,0
20230814:0510,0,4.53,1.89,21.77,2.48,0
20230814:0610,61.75,110.4,12.72,22.49,2.55,0
20230814:0710,233.21,322.24,23.82,24.69,3.31,0
20230814:0810,413.28,547.71,34.85,26.72,4.21,0
20230814:0910,550.4,743.53,45.35,28.52,4.55,0
20230814:1010,647.21,895.02,54.52,29.88,4.97,0
20230814:1110,699.4,982.89,60.82,30.93,5.24,0
20230814:1210,704.68,993.23,62.09,31.86,5.59,0
20230814:1310,670.9,937.46,57.73,32.25,5.79,0
20230814:1410,595.66,817.66,49.56,32.29,5.93,0
20230814:1510,476,642,39.5,32.01,5.93,0
20230814:1610,311.6,424.73,28.63,31.35,5.79,0
20230814:1710,125.16,201.03,17.52,30.26,5.24,0
20230814:1810,18.66,38.01,6.53,28.8,4.83,0
20230814:1910,0,0,0,27.11,4.48,0
20230814:2010,0,0,0,26.03,4,0
20230814:2110,0,0,0,25.28,3.24,0
20230814:2210,0,0,0,24.54,2.62,0
20230814:2310,0,0,0,23.86,2.34,0
20230815:0010,0,0,0,23.22,2.28,0
20230815:0110,0,0,0,22.74,2.21,0
20230815:0210,0,0,0,22.28,2.07,0
20230815:0310,0,0,0,21.94,2,0
20230815:0410,0,0,0,21.61,1.93,0
20230815:0510,0,3.62,1.71,21.22,1.86,0
20230815:0610,58.52,112,12.56,21.72,1.38,0
20230815:0710,151.07,210.27,23.66,24.97,0.9,0
20230815:0810,343.45,467.93,34.68,27.1,0.76,0
20230815:0910,526.51,741.32,45.16,28.79,1.31,0
20230815:1010,614.92,886.44,54.29,30.49,2.07,0
20230815:1110,671.88,979.32,60.53,31.82,2.9,0
20230815:1210,685.71,996.05,61.78,32.82,3.66,0
20230815:1310,660.21,944.24,57.43,33.46,4.34,0
20230815:1410,586.78,819.1,49.29,33.54,4.83,0
20230815:1510,470.29,642.12,39.26,33.18,5.03,0
20230815:1610,304.61,418.54,28.4,32.32,5.1,0
20230815:1710,122.41,196.2,17.28,30.98,4.9,0
20230815:1810,17.36,36.2,6.29,29.34,4.41,0
20230815:1910,0,0,0,27.49,3.45,0
20230815:2010,0,0,0,26.27,2.9,0
20230815:2110,0,0,0,25.28,2.28,0
20230815:2210,0,0,0,24.47,1.86,0
20230815:2310,0,0,0,23.73,1.79,0
20230816:0010,0,0,0,23.05,1.72,0
20230816:0110,0,0,0,22.45,1.52,0
20230816:0210,0,0,0,21.88,1.38,0
20230816:0310,0,0,0,21.35,1.24,0
20230816:0410,0,0,0,20.95,1.17,0
20230816:0510,0,2.72,1.53,20.58,1.24,0
20230816:0610,59.88,108.4,12.39,21.13,1.03,0
20230816:0710,225.84,314.87,23.5,24.49,1.17,0
20230816:0810,391.09,526.76,34.51,26.69,2.07,0
20230816:0910,529.49,731.97,44.97,28.64,2.41,0
20230816:1010,620.47,881.72,54.05,30.22,2.83,0
20230816:1110,487.96,677.54,60.25,31.36,3.24,0
20230816:1210,232.93,320.55,61.46,32.16,3.59,0
20230816:1310,600.61,849.26,57.13,32.59,3.93,0
20230816:1410,76.26,116.36,49.02,32.56,4.41,0
20230816:1510,240.83,328.68,39,32.05,4.41,0
20230816:1610,108.54,157.29,28.16,31.28,4.14,0
20230816:1710,120.35,192.14,17.04,30.09,3.72,0
20230816:1810,16.2,34.39,6.04,28.5,3.31,0
20230816:1910,0,0,0,26.49,2.34,0
20230816:2010,0,0,0,25.51,1.72,0
20230816:2110,0,0,0,24.77,1.31,0
20230816:2210,0,0,0,24.06,1.1,0
20230816:2310,0,0,0,23.43,0.62,0
20230817:0010,0,0,0,23.21,0.41,0
20230817:0110,0,0,0,21.95,0.97,0
20230817:0210,0,0,0,21.9,1.1,0
20230817:0310,0,0,0,21.86,1.31,0
20230817:0410,0,0,0,21.68,1.52,0
20230817:0510,0,0,0,21.65,1.59,0
20230817:0610,57.67,95.89,12.22,22.34,2.07,0
20230817:0710,149.98,206.24,23.33,23.43,2.34,0
20230817:0810,382,504.94,34.34,24.8,2.97,0
20230817:0910,541.17,734.89,44.77,26.29,2.9,0
20230817:1010,629.05,883.91,53.82,27.84,2.76,0
20230817:1110,677.08,971.55,59.96,29.3,2.97,0
20230817:1210,685.18,987.06,61.14,30.32,3.24,0
20230817:1310,652.53,930.04,56.82,30.89,3.45,0
20230817:1410,465.02,638.17,48.74,31.03,3.45,0
20230817:1510,452.69,618.01,38.75,30.82,3.38,0
20230817:1610,290.82,399.65,27.91,30.3,3.1,0
20230817:1710,74.47,114.48,16.8,29.42,2.76,0
20230817:1810,14.99,32.58,5.79,28.26,2.28,0
20230817:1910,0,0,0,26.32,1.93,0
20230817:2010,0,0,0,25.45,1.66,0
20230817:2110,0,0,0,24.77,1.66,0
20230817:2210,0,0,0,24.11,1.66,0
20230817:2310,0,0,0,23.51,1.79,0
20230818:0010,0,0,0,22.96,2.07,0
20230818:0110,0,0,0,22.52,2.14,0
20230818:0210,0,0,0,22.12,2.14,0
20230818:0310,0,0,0,21.78,2.14,0
20230818:0410,0,0,0,21.46,2.07,0
20230818:0510,0,0,0,21.19,2.07,0
20230818:0610,57.02,106.38,12.06,21.7,1.93,0
20230818:0710,230.06,318.04,23.17,24.1,2.55,0
20230818:0810,405.06,537.56,34.16,25.83,3.31,0
20230818:0910,543.06,735.66,44.57,27.22,3.52,0
20230818:1010,626.74,874.39,53.58,28.44,3.38,0
20230818:1110,676.96,967.34,59.67,29.49,3.24,0
20230818:1210,679.94,982.76,60.82,30.26,2.97,0
20230818:1310,360.59,493.91,56.51,30.93,2.69,0
20230818:1410,567.06,800.8,48.46,31.4,2.69,0
20230818:1510,454.34,624.46,38.49,31.3,2.97,0
20230818:1610,299.01,411.76,27.66,30.64,3.24,0
20230818:1710,118.52,193.05,16.55,29.6,3.17,0
20230818:1810,13.8,30.77,5.54,28.21,2.83,0
20230818:1910,0,0,0,26.63,2.14,0
20230818:2010,0,0,0,25.93,1.59,0
20230818:2110,0,0,0,25.45,1.17,0
20230818:2210,0,0,0,24.98,0.9,0
20230818:2310,0,0,0,24.46,0.76,0
20230819:0010,0,0,0,23.83,0.76,0
20230819:0110,0,0,0,23.5,0.69,0
20230819:0210,0,0,0,23.05,0.83,0
20230819:0310,0,0,0,22.89,1.03,0
20230819:0410,0,0,0,23.12,0.97,0
20230819:0510,0,0,0,23.12,0.9,0
20230819:0610,51.05,84.83,11.89,23.47,1.1,0
20230819:0710,118,166.19,23,24.2,1.17,0
20230819:0810,239.88,320.68,33.99,25.02,1.66,0
20230819:0910,272.67,364.19,44.37,25.84,2.07,0
20230819:1010,427.32,578.56,53.34,27.46,2.55,0
